DateTime,vuser,Tests,Errors,Mean_Test_Time_(ms),Test_Time_Standard_Deviation_(ms),TPS,Mean_response_length,Response_bytes_per_second,Response_errors,Mean_time_to_resolve_host,Mean_time_to_establish_connection,Mean_time_to_first_byte
2025-02-28 05:51:53,32,50,0,2278.56,1795.621,25,65.74,1643.5,0,0,6.32,1250.6
2025-02-28 05:51:55,44,80,0,1001.462,71.544,40,66.475,2659,0,0,1.225,8.15
2025-02-28 05:51:58,54,96,0,1001.625,64.765,48,66.698,3201.5,0,0,0.948,8.865
2025-02-28 05:52:00,64,115,0,1029.122,79.666,57.5,66.73,3837,0,0,0.904,10.157
2025-02-28 05:52:02,74,132,0,1023.447,68.314,66,66.508,4389.5,0,0,0.864,14.75
2025-02-28 05:52:04,81,151,0,1007.993,65.507,75.5,66.49,5020,0,0,0.735,8.205
2025-02-28 05:52:06,93,165,0,1071.145,87.269,82.5,65.982,5443.5,0,0,0.812,58.727
2025-02-28 05:52:08,103,121,0,1369.992,119.706,60.5,64.554,3905.5,0,0,0.777,372.57
2025-02-28 05:52:10,113,141,0,1552.582,129.959,70.5,64.312,4534,0,0,0.879,543.794
2025-02-28 05:52:12,124,105,0,1680.581,172.289,52.5,63.829,3351,0,0,0.771,683.01
2025-02-28 05:52:14,134,120,0,2427.15,165.469,60,64.133,3848,0,0,0.808,1420.792
2025-02-28 05:52:16,145,134,0,1951.53,135.463,67,64.022,4289.5,0,0,0.709,953.433
2025-02-28 05:52:18,156,129,0,2207.798,106.515,64.5,64.054,4131.5,0,0,0.713,1206.364
2025-02-28 05:52:20,165,132,0,2286.03,98.71,66,63.917,4218.5,0,0,0.758,1280.212
2025-02-28 05:52:22,175,133,0,2392.85,105.175,66.5,64.053,4259.5,0,0,0.684,1388.977
2025-02-28 05:52:24,185,136,0,2540.735,120.519,68,63.926,4347,0,0,0.743,1536.772
2025-02-28 05:52:26,197,135,0,2616.081,118.478,67.5,63.911,4314,0,0,0.689,1618.815
2025-02-28 05:52:28,206,105,0,3090.619,244.517,52.5,64.01,3360.5,0,0,0.781,2085.143
