TIMESTAMP,CONTAINER,NAME,ID,CPU_PERC,MEM_USAGE,MEM_PERC,NET_IO,BLOCK_IO,PIDS
1740720276,31920beadc8b,reverse-proxy-api-1,31920beadc8b,0.17%,135MiB / 1000MiB,13.50%,74.3MB / 50MB,0B / 0B,52
1740720276,accbbdecc98f,reverse-proxy-agent-1,accbbdecc98f,797.96%,1.198GiB / 3.785GiB,31.64%,145MB / 85MB,0B / 0B,278
1740720276,b743b0322250,reverse-proxy-nginx-proxy-1,b743b0322250,0.20%,58.73MiB / 3.785GiB,1.52%,133MB / 154MB,0B / 0B,35
1740720276,1de39eec77bc,reverse-proxy-controller-1,1de39eec77bc,3.22%,557.9MiB / 3.785GiB,14.39%,23.8MB / 89.2MB,0B / 0B,230
1740720289,31920beadc8b,reverse-proxy-api-1,31920beadc8b,25.43%,123.4MiB / 1000MiB,12.34%,74.3MB / 50MB,0B / 0B,14
1740720289,accbbdecc98f,reverse-proxy-agent-1,accbbdecc98f,63.61%,1.841GiB / 3.785GiB,48.63%,145MB / 85.1MB,0B / 0B,1829
1740720289,b743b0322250,reverse-proxy-nginx-proxy-1,b743b0322250,0.82%,57.98MiB / 3.785GiB,1.50%,133MB / 154MB,0B / 0B,35
1740720289,1de39eec77bc,reverse-proxy-controller-1,1de39eec77bc,1.49%,558.7MiB / 3.785GiB,14.41%,23.9MB / 89.3MB,0B / 0B,230
1740720302,31920beadc8b,reverse-proxy-api-1,31920beadc8b,99.38%,133.6MiB / 1000MiB,13.36%,74.5MB / 50.2MB,0B / 0B,33
1740720302,accbbdecc98f,reverse-proxy-agent-1,accbbdecc98f,27.05%,1.821GiB / 3.785GiB,48.11%,145MB / 85.4MB,0B / 0B,1829
1740720302,b743b0322250,reverse-proxy-nginx-proxy-1,b743b0322250,1.72%,58.23MiB / 3.785GiB,1.50%,133MB / 154MB,0B / 0B,35
1740720302,1de39eec77bc,reverse-proxy-controller-1,1de39eec77bc,1.80%,559.5MiB / 3.785GiB,14.44%,24.1MB / 89.3MB,0B / 0B,230
1740720315,31920beadc8b,reverse-proxy-api-1,31920beadc8b,99.95%,139.3MiB / 1000MiB,13.93%,74.7MB / 50.3MB,0B / 0B,30
1740720315,accbbdecc98f,reverse-proxy-agent-1,accbbdecc98f,21.76%,1.827GiB / 3.785GiB,48.26%,145MB / 85.7MB,0B / 0B,1829
1740720315,b743b0322250,reverse-proxy-nginx-proxy-1,b743b0322250,2.02%,58.7MiB / 3.785GiB,1.51%,133MB / 155MB,0B / 0B,35
1740720315,1de39eec77bc,reverse-proxy-controller-1,1de39eec77bc,1.56%,560.4MiB / 3.785GiB,14.46%,24.2MB / 89.4MB,0B / 0B,230
1740720327,31920beadc8b,reverse-proxy-api-1,31920beadc8b,104.84%,155MiB / 1000MiB,15.50%,75MB / 50.5MB,0B / 0B,37
1740720327,accbbdecc98f,reverse-proxy-agent-1,accbbdecc98f,17.48%,1.832GiB / 3.785GiB,48.39%,145MB / 86MB,0B / 0B,1829
