TIMESTAMP,CONTAINER,NAME,ID,CPU_PERC,MEM_USAGE,MEM_PERC,NET_IO,BLOCK_IO,PIDS
1740721893,d0e49c6865f0,reverse-proxy-api-1,d0e49c6865f0,0.20%,51.57MiB / 1000MiB,5.16%,726B / 0B,0B / 0B,12
1740721893,accbbdecc98f,reverse-proxy-agent-1,accbbdecc98f,792.80%,1.35GiB / 3.785GiB,35.66%,162MB / 110MB,0B / 0B,270
1740721893,b743b0322250,reverse-proxy-nginx-proxy-1,b743b0322250,0.18%,71.17MiB / 3.785GiB,1.84%,160MB / 185MB,0B / 0B,35
1740721893,1de39eec77bc,reverse-proxy-controller-1,1de39eec77bc,2.26%,570.6MiB / 3.785GiB,14.72%,34.1MB / 92.5MB,0B / 0B,234
1740721911,d0e49c6865f0,reverse-proxy-api-1,d0e49c6865f0,16.90%,69.82MiB / 1000MiB,6.98%,28.5kB / 18.6kB,0B / 0B,34
1740721911,accbbdecc98f,reverse-proxy-agent-1,accbbdecc98f,164.76%,1.856GiB / 3.785GiB,49.03%,162MB / 110MB,0B / 0B,1829
1740721911,b743b0322250,reverse-proxy-nginx-proxy-1,b743b0322250,2.41%,69.77MiB / 3.785GiB,1.80%,161MB / 185MB,0B / 0B,35
1740721911,1de39eec77bc,reverse-proxy-controller-1,1de39eec77bc,1.90%,570.7MiB / 3.785GiB,14.72%,34.2MB / 92.5MB,0B / 0B,249
1740721924,d0e49c6865f0,reverse-proxy-api-1,d0e49c6865f0,50.12%,86.77MiB / 1000MiB,8.68%,385kB / 252kB,0B / 0B,40
1740721924,accbbdecc98f,reverse-proxy-agent-1,accbbdecc98f,41.90%,1.858GiB / 3.785GiB,49.08%,163MB / 111MB,0B / 0B,1829
1740721924,b743b0322250,reverse-proxy-nginx-proxy-1,b743b0322250,5.35%,71.5MiB / 3.785GiB,1.84%,161MB / 186MB,0B / 0B,35
1740721924,1de39eec77bc,reverse-proxy-controller-1,1de39eec77bc,2.46%,571.6MiB / 3.785GiB,14.75%,34.4MB / 92.5MB,0B / 0B,249
1740721937,d0e49c6865f0,reverse-proxy-api-1,d0e49c6865f0,49.42%,117.5MiB / 1000MiB,11.75%,955kB / 618kB,0B / 0B,53
1740721937,accbbdecc98f,reverse-proxy-agent-1,accbbdecc98f,33.62%,1.866GiB / 3.785GiB,49.29%,163MB / 112MB,0B / 0B,1829
1740721937,b743b0322250,reverse-proxy-nginx-proxy-1,b743b0322250,5.26%,73.11MiB / 3.785GiB,1.89%,162MB / 187MB,0B / 0B,35
1740721937,1de39eec77bc,reverse-proxy-controller-1,1de39eec77bc,1.89%,539.2MiB / 3.785GiB,13.91%,34.5MB / 92.6MB,0B / 0B,248
1740721949,d0e49c6865f0,reverse-proxy-api-1,d0e49c6865f0,54.63%,104.8MiB / 1000MiB,10.48%,1.47MB / 950kB,0B / 0B,52
1740721949,accbbdecc98f,reverse-proxy-agent-1,accbbdecc98f,119.06%,1.876GiB / 3.785GiB,49.57%,164MB / 112MB,0B / 0B,1829
1740721949,b743b0322250,reverse-proxy-nginx-proxy-1,b743b0322250,3.13%,75.66MiB / 3.785GiB,1.95%,163MB / 188MB,0B / 0B,35
1740721949,1de39eec77bc,reverse-proxy-controller-1,1de39eec77bc,1.65%,539.6MiB / 3.785GiB,13.92%,34.7MB / 92.6MB,0B / 0B,248
1740721963,d0e49c6865f0,reverse-proxy-api-1,d0e49c6865f0,55.86%,117.9MiB / 1000MiB,11.79%,2.05MB / 1.32MB,0B / 0B,52
1740721963,accbbdecc98f,reverse-proxy-agent-1,accbbdecc98f,75.25%,1.876GiB / 3.785GiB,49.57%,164MB / 113MB,0B / 0B,1829
1740721963,b743b0322250,reverse-proxy-nginx-proxy-1,b743b0322250,3.42%,75.46MiB / 3.785GiB,1.95%,164MB / 189MB,0B / 0B,35
1740721963,1de39eec77bc,reverse-proxy-controller-1,1de39eec77bc,1.79%,538.3MiB / 3.785GiB,13.89%,34.9MB / 92.7MB,0B / 0B,248
1740721976,d0e49c6865f0,reverse-proxy-api-1,d0e49c6865f0,49.22%,113.7MiB / 1000MiB,11.37%,2.61MB / 1.7MB,0B / 0B,52
1740721976,accbbdecc98f,reverse-proxy-agent-1,accbbdecc98f,26.43%,1.893GiB / 3.785GiB,50.01%,164MB / 113MB,0B / 0B,1829
1740721976,b743b0322250,reverse-proxy-nginx-proxy-1,b743b0322250,5.56%,75.82MiB / 3.785GiB,1.96%,164MB / 190MB,0B / 0B,35
1740721976,1de39eec77bc,reverse-proxy-controller-1,1de39eec77bc,2.81%,531MiB / 3.785GiB,13.70%,35.1MB / 92.8MB,0B / 0B,235
1740721989,d0e49c6865f0,reverse-proxy-api-1,d0e49c6865f0,50.96%,115.2MiB / 1000MiB,11.53%,3.2MB / 2.08MB,0B / 0B,52
1740721989,accbbdecc98f,reverse-proxy-agent-1,accbbdecc98f,25.48%,1.885GiB / 3.785GiB,49.80%,165MB / 114MB,0B / 0B,1829
1740721989,b743b0322250,reverse-proxy-nginx-proxy-1,b743b0322250,5.17%,76.84MiB / 3.785GiB,1.98%,165MB / 191MB,0B / 0B,35
1740721989,1de39eec77bc,reverse-proxy-controller-1,1de39eec77bc,1.61%,532MiB / 3.785GiB,13.72%,35.3MB / 92.8MB,0B / 0B,232
1740722002,d0e49c6865f0,reverse-proxy-api-1,d0e49c6865f0,49.89%,121.1MiB / 1000MiB,12.11%,3.74MB / 2.43MB,0B / 0B,52
1740722002,accbbdecc98f,reverse-proxy-agent-1,accbbdecc98f,20.91%,1.885GiB / 3.785GiB,49.80%,165MB / 114MB,0B / 0B,1829
1740722002,b743b0322250,reverse-proxy-nginx-proxy-1,b743b0322250,5.02%,76.49MiB / 3.785GiB,1.97%,166MB / 192MB,0B / 0B,35
1740722002,1de39eec77bc,reverse-proxy-controller-1,1de39eec77bc,2.56%,532.1MiB / 3.785GiB,13.73%,35.5MB / 92.9MB,0B / 0B,232
1740722015,d0e49c6865f0,reverse-proxy-api-1,d0e49c6865f0,49.30%,127MiB / 1000MiB,12.70%,4.3MB / 2.8MB,0B / 0B,52
1740722015,accbbdecc98f,reverse-proxy-agent-1,accbbdecc98f,17.68%,1.884GiB / 3.785GiB,49.77%,166MB / 115MB,0B / 0B,1829
1740722015,b743b0322250,reverse-proxy-nginx-proxy-1,b743b0322250,4.67%,76.62MiB / 3.785GiB,1.98%,167MB / 193MB,0B / 0B,35
1740722015,1de39eec77bc,reverse-proxy-controller-1,1de39eec77bc,1.96%,533.2MiB / 3.785GiB,13.76%,35.6MB / 92.9MB,0B / 0B,232
1740722028,d0e49c6865f0,reverse-proxy-api-1,d0e49c6865f0,61.26%,126.2MiB / 1000MiB,12.62%,4.84MB / 3.14MB,0B / 0B,52
1740722028,accbbdecc98f,reverse-proxy-agent-1,accbbdecc98f,29.62%,1.894GiB / 3.785GiB,50.02%,166MB / 116MB,0B / 0B,1829
1740722028,b743b0322250,reverse-proxy-nginx-proxy-1,b743b0322250,8.40%,77.82MiB / 3.785GiB,2.01%,168MB / 194MB,0B / 0B,35
1740722028,1de39eec77bc,reverse-proxy-controller-1,1de39eec77bc,2.14%,533.3MiB / 3.785GiB,13.76%,35.8MB / 93MB,0B / 0B,232
1740722041,d0e49c6865f0,reverse-proxy-api-1,d0e49c6865f0,52.41%,128.7MiB / 1000MiB,12.87%,5.4MB / 3.51MB,0B / 0B,52
1740722041,accbbdecc98f,reverse-proxy-agent-1,accbbdecc98f,17.06%,1.888GiB / 3.785GiB,49.87%,166MB / 116MB,0B / 0B,1829
1740722041,b743b0322250,reverse-proxy-nginx-proxy-1,b743b0322250,6.29%,77.75MiB / 3.785GiB,2.01%,169MB / 195MB,0B / 0B,35
1740722041,1de39eec77bc,reverse-proxy-controller-1,1de39eec77bc,1.66%,534.1MiB / 3.785GiB,13.78%,36MB / 93MB,0B / 0B,232
1740722053,d0e49c6865f0,reverse-proxy-api-1,d0e49c6865f0,48.68%,125.7MiB / 1000MiB,12.57%,5.92MB / 3.86MB,0B / 0B,52
1740722053,accbbdecc98f,reverse-proxy-agent-1,accbbdecc98f,21.67%,1.888GiB / 3.785GiB,49.87%,167MB / 117MB,0B / 0B,1829
1740722053,b743b0322250,reverse-proxy-nginx-proxy-1,b743b0322250,5.25%,78.46MiB / 3.785GiB,2.02%,169MB / 196MB,0B / 0B,35
1740722053,1de39eec77bc,reverse-proxy-controller-1,1de39eec77bc,2.08%,535MiB / 3.785GiB,13.80%,36.2MB / 93.1MB,0B / 0B,232
1740722066,d0e49c6865f0,reverse-proxy-api-1,d0e49c6865f0,58.08%,127.3MiB / 1000MiB,12.73%,6.51MB / 4.24MB,0B / 0B,52
1740722066,accbbdecc98f,reverse-proxy-agent-1,accbbdecc98f,15.75%,1.887GiB / 3.785GiB,49.85%,167MB / 117MB,0B / 0B,1829
1740722066,b743b0322250,reverse-proxy-nginx-proxy-1,b743b0322250,11.77%,78.85MiB / 3.785GiB,2.03%,170MB / 197MB,0B / 0B,35
1740722066,1de39eec77bc,reverse-proxy-controller-1,1de39eec77bc,1.89%,535.5MiB / 3.785GiB,13.81%,36.4MB / 93.1MB,0B / 0B,236
1740722079,d0e49c6865f0,reverse-proxy-api-1,d0e49c6865f0,48.52%,129.9MiB / 1000MiB,12.99%,7.03MB / 4.58MB,0B / 0B,52
1740722079,accbbdecc98f,reverse-proxy-agent-1,accbbdecc98f,23.23%,1.887GiB / 3.785GiB,49.84%,168MB / 118MB,0B / 0B,1829
1740722079,b743b0322250,reverse-proxy-nginx-proxy-1,b743b0322250,7.51%,79.04MiB / 3.785GiB,2.04%,171MB / 197MB,0B / 0B,35
1740722079,1de39eec77bc,reverse-proxy-controller-1,1de39eec77bc,1.56%,536.2MiB / 3.785GiB,13.83%,36.5MB / 93.2MB,0B / 0B,236
1740722092,d0e49c6865f0,reverse-proxy-api-1,d0e49c6865f0,50.22%,134.3MiB / 1000MiB,13.43%,7.62MB / 4.97MB,0B / 0B,52
1740722092,accbbdecc98f,reverse-proxy-agent-1,accbbdecc98f,19.94%,1.889GiB / 3.785GiB,49.90%,168MB / 118MB,0B / 0B,1829
1740722092,b743b0322250,reverse-proxy-nginx-proxy-1,b743b0322250,6.15%,79.42MiB / 3.785GiB,2.05%,172MB / 198MB,0B / 0B,35
1740722092,1de39eec77bc,reverse-proxy-controller-1,1de39eec77bc,5.79%,537.2MiB / 3.785GiB,13.86%,36.7MB / 93.2MB,0B / 0B,236
1740722105,d0e49c6865f0,reverse-proxy-api-1,d0e49c6865f0,50.28%,135.6MiB / 1000MiB,13.56%,8.17MB / 5.32MB,0B / 0B,52
1740722105,accbbdecc98f,reverse-proxy-agent-1,accbbdecc98f,20.02%,1.889GiB / 3.785GiB,49.90%,168MB / 119MB,0B / 0B,1829
1740722105,b743b0322250,reverse-proxy-nginx-proxy-1,b743b0322250,5.07%,80.64MiB / 3.785GiB,2.08%,173MB / 199MB,0B / 0B,35
1740722105,1de39eec77bc,reverse-proxy-controller-1,1de39eec77bc,3.73%,539MiB / 3.785GiB,13.91%,36.9MB / 93.3MB,0B / 0B,239
1740722118,d0e49c6865f0,reverse-proxy-api-1,d0e49c6865f0,49.99%,137.9MiB / 1000MiB,13.79%,8.74MB / 5.69MB,0B / 0B,52
1740722118,accbbdecc98f,reverse-proxy-agent-1,accbbdecc98f,22.40%,1.894GiB / 3.785GiB,50.03%,169MB / 120MB,0B / 0B,1829
1740722118,b743b0322250,reverse-proxy-nginx-proxy-1,b743b0322250,5.14%,80.69MiB / 3.785GiB,2.08%,174MB / 200MB,0B / 0B,35
1740722118,1de39eec77bc,reverse-proxy-controller-1,1de39eec77bc,1.91%,530.9MiB / 3.785GiB,13.70%,37.1MB / 93.4MB,0B / 0B,245
1740722130,d0e49c6865f0,reverse-proxy-api-1,d0e49c6865f0,49.62%,144.3MiB / 1000MiB,14.43%,9.27MB / 6.04MB,0B / 0B,52
