DateTime,vuser,Tests,Errors,Mean_Test_Time_(ms),Test_Time_Standard_Deviation_(ms),TPS,Mean_response_length,Response_bytes_per_second,Response_errors,Mean_time_to_resolve_host,Mean_time_to_establish_connection,Mean_time_to_first_byte
2025-02-28 05:31:30,8,9,0,1088.333,97.584,4.5,64.222,289,0,0,11.444,83.667
2025-02-28 05:31:32,17,26,0,1096.038,101.984,13,64.115,833.5,0,0,4.846,84.308
2025-02-28 05:31:34,26,29,0,1084.724,87.506,14.5,64.241,931.5,0,0,1.207,89.138
2025-02-28 05:31:36,37,49,0,1139.51,85.14,24.5,63.776,1562.5,0,0,1.082,141.327
2025-02-28 05:31:38,48,51,0,1346.784,166.762,25.5,63.882,1629,0,0,0.882,339.549
2025-02-28 05:31:40,58,52,0,1667.212,207.68,26,63.308,1646,0,0,0.923,668.481
2025-02-28 05:31:42,68,53,0,1982.453,293.144,26.5,63.358,1679,0,0,0.887,974.396
2025-02-28 05:31:44,77,55,0,2210.782,461.697,27.5,63.836,1755.5,0,0,0.745,1209.891
2025-02-28 05:31:46,87,56,0,2559.161,581.502,28,63.357,1774,0,0,0.679,1549.786
2025-02-28 05:31:48,98,50,0,2798.52,777.761,25,63.52,1588,0,0,0.76,1801.96
2025-02-28 05:31:50,108,61,0,3154.23,1108.012,30.5,63.607,1940,0,0,0.984,2166.148
2025-02-28 05:31:52,117,53,0,3526.491,1341.344,26.5,63.623,1686,0,0,0.642,2530.472
2025-02-28 05:31:54,129,50,0,3580.08,1589.651,25,63.38,1584.5,0,0,0.84,2581.82
2025-02-28 05:31:56,138,59,0,3916.271,1913.341,29.5,63.644,1877.5,0,0,0.61,2924.356
2025-02-28 05:31:58,148,53,0,4860.755,1742.23,26.5,63.509,1683,0,0,0.736,3863.264
2025-02-28 05:32:00,159,51,0,4908.51,1694.262,25.5,63.431,1617.5,0,0,0.765,3916.706
2025-02-28 05:32:02,169,48,0,4752.354,1909.421,24,63.688,1528.5,0,0,0.708,3744.625
2025-02-28 05:32:04,178,62,0,5469.113,1790.501,31,63.387,1965,0,0,0.79,4464.516
2025-02-28 05:32:06,189,47,0,5423.66,2336.129,23.5,63.787,1499,0,0,0.617,4416.596
2025-02-28 05:32:08,200,64,0,6011.734,2261.314,32,63.422,2029.5,0,0,0.719,5012.359
2025-02-28 05:32:10,210,51,0,6183.686,2489.377,25.5,63.51,1619.5,0,0,0.569,5196.412
2025-02-28 05:32:12,220,55,0,6255.2,2742.651,27.5,63.4,1743.5,0,0,0.673,5266.855
2025-02-28 05:32:14,229,54,0,6139.333,3199.167,27,63.63,1718,0,0,0.722,5150.352
2025-02-28 05:32:16,240,54,0,6672.019,3316.86,27,63.389,1711.5,0,0,0.593,5655.185
2025-02-28 05:32:18,251,56,0,7130.446,3766.263,28,63.446,1776.5,0,0,0.554,6124.018
2025-02-28 05:32:20,259,50,0,7721.5,3709.579,25,63.74,1593.5,0,0,0.68,6707.06
2025-02-28 05:32:22,268,51,0,8684.824,3614.069,25.5,63.569,1621,0,0,0.588,7683.647
2025-02-28 05:32:24,279,58,0,8087.655,4274.26,29,63.414,1839,0,0,0.655,7089.431
2025-02-28 05:32:26,289,56,0,8671.125,4190.635,28,63.75,1785,0,0,0.679,7665.321
2025-02-28 05:32:28,298,56,0,8698.536,4416.313,28,63.589,1780.5,0,0,0.679,7678.607
2025-02-28 05:32:30,307,56,0,8691.054,4815.945,28,63.429,1776,0,0,0.643,7675.661
2025-02-28 05:32:32,319,40,0,9697.375,4801.747,20,63.55,1271,0,0,0.8,8697.925
2025-02-28 05:32:34,329,56,0,9117.571,5252.75,28,63.339,1773.5,0,0,0.446,8099.375
2025-02-28 05:32:36,339,64,0,8549.844,5800.446,32,63.375,2028,0,0,0.625,7555
2025-02-28 05:32:38,349,56,0,10760.286,5410.281,28,63.554,1779.5,0,0,0.643,9763.804
2025-02-28 05:32:40,358,54,0,11026.907,5658.916,27,63.63,1718,0,0,0.63,10005.074
2025-02-28 05:32:42,368,52,0,12106.904,5423.015,26,63.038,1639,0,0,0.654,11118.327
2025-02-28 05:32:44,379,51,0,11515.824,5907.519,25.5,63.451,1618,0,0,0.765,10514.373
2025-02-28 05:32:46,389,60,0,12063.4,5858.771,30,63.25,1897.5,0,0,0.783,11053.217
2025-02-28 05:32:48,398,53,0,11859.849,6257.543,26.5,63.642,1686.5,0,0,0.698,10850.83
2025-02-28 05:32:50,408,52,0,11636.269,6497.068,26,63.462,1650,0,0,0.615,10641.231
2025-02-28 05:32:52,418,56,0,12948.875,5991,28,63.679,1783,0,0,0.571,11966.821
2025-02-28 05:32:54,428,53,0,12692.358,6417.299,26.5,63.547,1684,0,0,0.736,11707.245
2025-02-28 05:32:56,439,53,0,11332.17,7403.908,26.5,63.264,1676.5,0,0,0.679,10330.717
2025-02-28 05:32:58,448,48,0,11115.604,7787.124,24,63.729,1529.5,0,0,0.729,10128.688
2025-02-28 05:33:00,457,66,0,14653.667,6504.313,33,63.152,2084,0,0,0.606,13653.682
2025-02-28 05:33:02,467,47,0,16377.468,5540.868,23.5,63.298,1487.5,0,0,0.638,15372.851
2025-02-28 05:33:04,478,47,0,13742.298,7653.287,23.5,63.511,1492.5,0,0,0.553,12749
2025-02-28 05:33:06,488,52,0,15631.904,6789.886,26,63.173,1642.5,0,0,0.577,14633.577
2025-02-28 05:33:08,497,58,0,15283.586,7113.243,29,63.586,1844,0,0,0.638,14302.034
2025-02-28 05:33:10,508,51,0,14023.098,8188.811,25.5,63.745,1625.5,0,0,0.588,13028.961
2025-02-28 05:33:12,518,55,0,15438.673,7795.571,27.5,63.382,1743,0,0,0.545,14440.673
