DateTime,vuser,Tests,Errors,Mean_Test_Time_(ms),Test_Time_Standard_Deviation_(ms),TPS,Mean_response_length,Response_bytes_per_second,Response_errors,Mean_time_to_resolve_host,Mean_time_to_establish_connection,Mean_time_to_first_byte
2025-02-28 06:08:16,11,12,0,1146.917,148.854,6,64,384,0,0,10.083,146.833
2025-02-28 06:08:18,23,22,0,1399.364,205.996,11,63.318,696.5,0,0,2.636,381.409
2025-02-28 06:08:20,33,24,0,1684.875,264.375,12,63.125,757.5,0,0,1.167,689.5
2025-02-28 06:08:22,42,28,0,2185.786,227.887,14,63.357,887,0,0,0.857,1189.071
2025-02-28 06:08:24,52,24,0,2828.5,197.779,12,63,756,0,0,1.167,1834.167
2025-02-28 06:08:26,65,24,0,3307.25,194.918,12,63.167,758,0,0,1.167,2296.542
2025-02-28 06:08:28,72,30,0,3729.867,718.035,15,62.867,943,0,0,0.8,2743.067
2025-02-28 06:08:30,82,24,0,4301.458,1108.257,12,63.208,758.5,0,0,1.042,3282.708
2025-02-28 06:08:32,92,25,0,4444.76,1852.016,12.5,63.12,789,0,0,0.88,3459.52
2025-02-28 06:08:34,102,24,0,5444,1882.334,12,63.167,758,0,0,0.708,4437.083
2025-02-28 06:08:36,115,21,0,5669.476,2375.886,10.5,62.952,661,0,0,0.857,4683.381
2025-02-28 06:08:38,122,30,0,5939.1,2917.382,15,62.7,940.5,0,0,0.667,4934.533
2025-02-28 06:08:40,136,25,0,6811.24,3332.662,12.5,63.04,788,0,0,0.92,5797.28
2025-02-28 06:08:42,145,23,0,9537.522,274.793,11.5,63.304,728,0,0,0.739,8543.304
2025-02-28 06:08:44,153,28,0,9756.214,298.908,14,63.143,884,0,0,0.714,8780.607
2025-02-28 06:08:46,161,21,0,8965.952,2310.561,10.5,62.81,659.5,0,0,0.952,7968.476
2025-02-28 06:08:48,171,30,0,9664.933,1431.397,15,62.933,944,0,0,0.867,8661
2025-02-28 06:08:50,180,27,0,9114.519,3083.85,13.5,63.481,857,0,0,0.815,8105.63
2025-02-28 06:08:52,192,21,0,8717.381,4349.869,10.5,63.19,663.5,0,0,0.81,7703.714
2025-02-28 06:08:54,201,23,0,9483.043,4564.472,11.5,63,724.5,0,0,0.913,8474.913
