DateTime,vuser,Tests,Errors,Mean_Test_Time_(ms),Test_Time_Standard_Deviation_(ms),TPS,Mean_response_length,Response_bytes_per_second,Response_errors,Mean_time_to_resolve_host,Mean_time_to_establish_connection,Mean_time_to_first_byte
2025-02-28 06:15:32,17,22,0,1280,396.439,11,66.182,728,0,0,6.091,250.636
2025-02-28 06:15:35,28,56,0,1001.321,70.755,28,66.857,1872,0,0,2.518,10.696
2025-02-28 06:15:37,38,65,0,1015.108,51.225,32.5,66.954,2176,0,0,1.154,8.385
2025-02-28 06:15:39,50,85,0,1002.647,58.872,42.5,66.576,2829.5,0,0,1.035,8.165
2025-02-28 06:15:41,59,103,0,1009.437,68.373,51.5,66.777,3439,0,0,1.058,9.252
2025-02-28 06:15:43,71,120,0,1032.367,87.355,60,66.317,3979,0,0,0.917,34.842
2025-02-28 06:15:45,77,6,0,1130.833,76.113,3,65.333,196,0,0,0.833,158.833
2025-02-28 06:15:47,89,19,0,3676.316,222.955,9.5,63.632,604.5,0,0,3.053,2663.316
2025-02-28 06:15:49,98,0,0,0,0,0,0,0,0,0,0,0
2025-02-28 06:15:51,108,0,0,0,0,0,0,0,0,0,0,0
2025-02-28 06:15:53,119,0,0,0,0,0,0,0,0,0,0,0
2025-02-28 06:15:55,129,0,127,0,0,0,0,0,0,0,0,0
2025-02-28 06:15:57,140,0,142,0,0,0,0,0,0,0,0,0
2025-02-28 06:15:59,150,0,8,0,0,0,0,0,0,0,0,0
2025-02-28 06:16:01,160,0,30,0,0,0,0,0,0,0,0,0
2025-02-28 06:16:03,171,0,50,0,0,0,0,0,0,0,0,0
2025-02-28 06:16:05,180,0,71,0,0,0,0,0,0,0,0,0
2025-02-28 06:16:07,191,0,93,0,0,0,0,0,0,0,0,0
2025-02-28 06:16:09,200,0,111,0,0,0,0,0,0,0,0,0
2025-02-28 06:16:11,211,0,129,0,0,0,0,0,0,0,0,0
2025-02-28 06:16:13,219,0,150,0,0,0,0,0,0,0,0,0
2025-02-28 06:16:15,230,0,166,0,0,0,0,0,0,0,0,0
2025-02-28 06:16:17,237,0,187,0,0,0,0,0,0,0,0,0
