DateTime,vuser,Tests,Errors,Mean_Test_Time_(ms),Test_Time_Standard_Deviation_(ms),TPS,Mean_response_length,Response_bytes_per_second,Response_errors,Mean_time_to_resolve_host,Mean_time_to_establish_connection,Mean_time_to_first_byte
2025-02-28 05:42:32,14,18,0,1204.222,278.619,9,66.222,596,0,0,9.722,157.889
2025-02-28 05:42:34,23,36,0,1001.972,73.087,18,66.5,1197,0,0,1.778,8.583
2025-02-28 05:42:36,37,54,0,1014.426,76.874,27,66.87,1805.5,0,0,1.111,6.611
2025-02-28 05:42:38,43,66,0,1008.03,60.49,33,66.591,2197.5,0,0,1.061,6.803
2025-02-28 05:42:40,52,93,0,993.387,67.763,46.5,66.731,3103,0,0,0.892,7.957
2025-02-28 05:42:42,60,111,0,1007.477,71.288,55.5,66.595,3696,0,0,0.865,7.414
2025-02-28 05:42:44,72,124,0,1004.879,60.176,62,66.621,4130.5,0,0,0.798,9.024
2025-02-28 05:42:46,85,151,0,1015.868,67.931,75.5,66.49,5020,0,0,0.748,8.411
2025-02-28 05:42:48,92,174,0,1008.667,69.865,87,66.517,5787,0,0,0.776,10.017
2025-02-28 05:42:50,102,183,0,1003.847,66.491,91.5,66.514,6086,0,0,0.749,7.989
2025-02-28 05:42:52,114,216,0,1003.019,68.804,108,66.486,7180.5,0,0,0.662,10.759
2025-02-28 05:42:54,124,227,0,1009.498,67.446,113.5,66.714,7572,0,0,0.731,8.925
2025-02-28 05:42:56,136,253,0,1007.589,69.461,126.5,66.502,8412.5,0,0,0.727,11.561
2025-02-28 05:42:58,143,271,0,1014.823,65.204,135.5,66.546,9017,0,0,0.749,11.114
2025-02-28 05:43:00,152,279,0,1011.828,69.12,139.5,66.513,9278.5,0,0,0.674,11.014
2025-02-28 05:43:02,162,310,0,1012.406,63.94,155,66.394,10291,0,0,0.697,14.561
2025-02-28 05:43:04,174,323,0,1011.015,65.68,161.5,66.452,10732,0,0,0.663,11.492
2025-02-28 05:43:06,182,348,0,1019.448,68.445,174,66.241,11526,0,0,0.667,20.744
2025-02-28 05:43:08,192,370,0,1020.838,68.891,185,66.216,12250,0,0,0.67,18.662
2025-02-28 05:43:10,201,378,0,1026.426,66.788,189,66.005,12475,0,0,0.701,24.849
2025-02-28 05:43:12,211,397,0,1030.554,71.288,198.5,66.131,13127,0,0,0.67,23.567
2025-02-28 05:43:14,222,411,0,1033.421,68.123,205.5,65.859,13534,0,0,0.713,30.937
2025-02-28 05:43:16,231,438,0,1032.986,70.999,219,65.662,14380,0,0,0.644,34.384
2025-02-28 05:43:18,243,235,0,1103.034,199.254,117.5,65.511,7697.5,0,0,0.63,101.983
2025-02-28 05:43:20,254,11,0,1880.636,78.211,5.5,63.091,347,0,0,0.545,903.091
2025-02-28 05:43:22,263,0,0,0,0,0,0,0,0,0,0,0
2025-02-28 05:43:24,275,0,244,0,0,0,0,0,0,0,0,0
2025-02-28 05:43:26,283,0,39,0,0,0,0,0,0,0,0,0
2025-02-28 05:43:28,292,0,27,0,0,0,0,0,0,0,0,0
2025-02-28 05:43:30,303,0,45,0,0,0,0,0,0,0,0,0
2025-02-28 05:43:32,313,0,67,0,0,0,0,0,0,0,0,0
2025-02-28 05:43:34,324,0,87,0,0,0,0,0,0,0,0,0
2025-02-28 05:43:36,334,0,110,0,0,0,0,0,0,0,0,0
2025-02-28 05:43:38,344,0,125,0,0,0,0,0,0,0,0,0
2025-02-28 05:43:40,352,0,146,0,0,0,0,0,0,0,0,0
2025-02-28 05:43:42,361,0,165,0,0,0,0,0,0,0,0,0
2025-02-28 05:43:44,373,0,186,0,0,0,0,0,0,0,0,0
2025-02-28 05:43:46,385,0,212,0,0,0,0,0,0,0,0,0
2025-02-28 05:43:48,396,0,227,0,0,0,0,0,0,0,0,0
2025-02-28 05:43:50,405,0,252,0,0,0,0,0,0,0,0,0
2025-02-28 05:43:52,415,0,273,0,0,0,0,0,0,0,0,0
2025-02-28 05:43:54,425,0,284,0,0,0,0,0,0,0,0,0
2025-02-28 05:43:56,435,0,315,0,0,0,0,0,0,0,0,0
2025-02-28 05:43:58,444,0,331,0,0,0,0,0,0,0,0,0
2025-02-28 05:44:00,454,0,351,0,0,0,0,0,0,0,0,0
2025-02-28 05:44:02,463,0,362,0,0,0,0,0,0,0,0,0
2025-02-28 05:44:04,471,0,387,0,0,0,0,0,0,0,0,0
2025-02-28 05:44:06,482,0,405,0,0,0,0,0,0,0,0,0
2025-02-28 05:44:08,493,0,426,0,0,0,0,0,0,0,0,0
2025-02-28 05:44:10,504,0,445,0,0,0,0,0,0,0,0,0
2025-02-28 05:44:12,515,0,471,0,0,0,0,0,0,0,0,0
2025-02-28 05:44:14,524,0,491,0,0,0,0,0,0,0,0,0
2025-02-28 05:44:16,532,0,508,0,0,0,0,0,0,0,0,0
2025-02-28 05:44:18,543,0,519,0,0,0,0,0,0,0,0,0
2025-02-28 05:44:20,554,0,547,0,0,0,0,0,0,0,0,0
